"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.1409,0.1588,0,-0.08556,1,0.0286,0.0286,0.05,0.005
-0.14141,0.15844,0,-0.085304,1,0.0287,0.0287,0.05,0.005
-0.14192,0.15808,0,-0.085048,1,0.0288,0.0288,0.05,0.005
-0.14243,0.15773,0,-0.084792,1,0.0289,0.0289,0.05,0.005
-0.14294,0.15737,0,-0.084535,1,0.029,0.029,0.05,0.005
-0.14346,0.15701,0,-0.084279,1,0.0291,0.0291,0.05,0.005
-0.14397,0.15665,0,-0.084023,1,0.0292,0.0292,0.05,0.005
-0.14448,0.15629,0,-0.083767,1,0.0293,0.0293,0.05,0.005
-0.14499,0.15594,0,-0.083511,1,0.0294,0.0294,0.05,0.005
-0.1455,0.15558,0,-0.083254,1,0.0295,0.0295,0.05,0.005
-0.14601,0.15522,0,-0.082998,1,0.0296,0.0296,0.05,0.005
-0.14652,0.15486,0,-0.082742,1,0.0297,0.0297,0.05,0.005
-0.14703,0.1545,0,-0.082486,1,0.0298,0.0298,0.05,0.005
-0.14755,0.15415,0,-0.08223,1,0.0299,0.0299,0.05,0.005
-0.14806,0.15379,0,-0.081974,1,0.03,0.03,0.05,0.005
-0.14847,0.15323,0,-0.081629,1,0.0301,0.0301,0.05,0.005
-0.14889,0.15267,0,-0.081285,1,0.0302,0.0302,0.05,0.005
-0.1493,0.15211,0,-0.080941,1,0.0303,0.0303,0.05,0.005
-0.14972,0.15155,0,-0.080597,1,0.0304,0.0304,0.05,0.005
-0.15014,0.15099,0,-0.080252,1,0.0305,0.0305,0.05,0.005
-0.15055,0.15043,0,-0.079908,1,0.0306,0.0306,0.05,0.005
-0.15097,0.14987,0,-0.079564,1,0.0307,0.0307,0.05,0.005
-0.15138,0.14931,0,-0.07922,1,0.0308,0.0308,0.05,0.005
-0.1518,0.14875,0,-0.078876,1,0.0309,0.0309,0.05,0.005
-0.15222,0.14819,0,-0.078531,1,0.031,0.031,0.05,0.005
-0.15263,0.14763,0,-0.078187,1,0.0311,0.0311,0.05,0.005
-0.15305,0.14706,0,-0.077843,1,0.0312,0.0312,0.05,0.005
-0.15346,0.1465,0,-0.077499,1,0.0313,0.0313,0.05,0.005
-0.15388,0.14594,0,-0.077155,1,0.0314,0.0314,0.05,0.005
-0.1543,0.14538,0,-0.07681,1,0.0315,0.0315,0.05,0.005
-0.15471,0.14482,0,-0.076466,1,0.0316,0.0316,0.05,0.005
-0.15513,0.14426,0,-0.076122,1,0.0317,0.0317,0.05,0.005
-0.15555,0.1437,0,-0.075778,1,0.0318,0.0318,0.05,0.005
-0.15596,0.14314,0,-0.075434,1,0.0319,0.0319,0.05,0.005
-0.15638,0.14258,0,-0.075089,1,0.032,0.032,0.05,0.005
